past_avg_score,attendance_percent,score_trend,study_hours_per_week,next_score,at_risk
65.54,62.61,-6.68,7.87,47.32,0
62.68,62.31,-3.79,5.99,45.14,0
74.86,62.79,-5.65,7.31,49.43,0
91.63,77.8,-3.29,10.86,66.15,0
50.55,40.32,-1.28,13.11,52.36,0
66.23,65.6,5.02,10.28,47.91,0
67.05,82.1,-1.93,8.41,72.76,0
71.47,63.75,-9.51,13.99,49.58,0
54.05,68.48,6.84,6.75,45.93,0
78.21,82.45,-5.02,12.12,62.75,0
58.23,41.34,-0.35,6.85,47.61,0
46.77,51.46,2.68,9.72,51.56,0
60.75,58.81,1.2,7.55,44.48,0
37.89,34.13,6.57,7.78,29.61,1
38.49,57.34,2.87,6.49,41.31,0
51.93,57.27,-5.17,13.38,44.24,0
45.96,51.69,13.07,5.07,39.35,1
75.28,44.75,1.17,5.04,52.14,0
47.24,63.59,-0.88,16.48,41.19,0
43.11,35.8,5.78,11.91,48.49,0
100.0,81.61,1.5,0.0,74.18,0
50.22,66.46,2.4,5.74,53.72,0
51.2,82.54,14.95,0.75,68.68,0
49.9,34.83,-1.65,4.2,31.79,1
51.41,30.0,-1.91,0.0,40.9,0
64.12,68.87,0.7,7.45,61.89,0
41.49,75.02,6.43,3.43,46.98,0
68.56,84.31,-9.04,8.24,52.13,0
68.78,61.71,-11.79,1.5,27.46,1
67.04,56.54,-3.52,8.33,44.89,0
62.87,68.87,-9.8,6.34,46.5,0
81.45,73.27,-2.55,14.01,74.29,0
55.59,71.07,3.01,13.65,58.48,0
26.42,60.46,-5.34,11.14,36.54,1
70.86,86.86,-8.56,6.69,45.77,0
54.34,85.8,0.42,15.94,44.86,0
72.27,72.4,5.18,1.79,53.25,0
33.83,38.82,-10.17,2.39,21.1,1
44.9,51.25,4.92,7.66,43.51,0
62.44,46.34,4.9,17.02,66.11,0
77.72,64.92,5.72,7.19,60.59,0
73.7,62.39,7.31,7.27,54.18,0
50.34,58.0,13.21,2.23,52.12,0
62.88,64.17,-2.14,11.78,49.31,0
50.28,40.11,0.66,11.81,30.48,1
50.88,71.39,-2.5,11.16,46.91,0
63.7,60.67,0.01,5.48,48.44,0
100.0,76.49,9.2,5.17,67.18,0
69.32,65.17,-8.07,2.83,51.18,0
41.7,48.85,-5.17,8.34,33.49,1
63.96,78.8,8.26,3.68,48.79,0
60.67,51.05,6.12,3.29,50.65,0
58.53,50.49,-2.18,6.31,37.04,1
75.73,68.28,5.13,6.04,52.25,0
72.31,60.18,2.05,5.85,52.44,0
80.62,65.45,9.0,9.87,66.58,0
64.11,50.97,0.45,8.32,40.4,0
63.95,72.75,6.15,6.85,42.79,0
77.66,72.13,15.85,8.73,66.32,0
77.74,78.07,3.59,4.03,53.78,0
63.81,70.68,0.3,8.42,49.45,0
64.45,61.9,4.33,8.6,52.78,0
40.8,58.57,-2.19,1.99,43.15,0
49.61,51.7,14.33,11.98,57.67,0
69.25,77.22,1.08,4.47,51.59,0
80.28,72.75,-1.64,8.36,62.86,0
65.43,35.48,-5.01,12.66,41.88,0
82.43,74.43,6.58,11.7,68.32,0
60.91,86.37,5.2,8.14,62.34,0
63.76,69.84,-2.98,6.55,42.75,0
75.0,80.88,3.46,11.79,57.53,0
82.43,96.48,-9.05,10.7,59.72,0
52.16,66.19,1.11,5.53,56.83,0
87.31,84.3,2.72,4.82,71.08,0
22.14,30.58,10.24,0.0,30.88,1
78.23,70.34,-4.62,8.62,55.01,0
63.4,73.8,-7.67,7.67,45.75,0
44.46,76.81,-5.37,12.54,43.25,0
63.27,64.79,-8.02,9.44,50.44,0
32.74,39.23,8.02,13.34,28.97,1
66.77,63.2,9.29,5.21,63.88,0
64.77,76.46,1.92,12.55,50.87,0
100.0,63.69,7.33,5.88,67.75,0
41.93,32.5,0.8,11.11,51.11,0
63.36,50.4,-0.57,2.16,43.12,0
55.68,45.58,-2.0,8.94,43.46,0
85.61,69.01,-1.86,0.06,50.38,0
70.57,67.18,-9.29,6.93,41.04,0
66.17,54.5,1.59,9.76,50.62,0
69.6,88.32,-0.24,5.92,68.34,0
57.67,70.44,4.47,3.8,51.38,0
90.89,79.28,0.56,11.38,56.46,0
53.56,65.59,-0.98,7.59,30.12,1
61.86,48.39,-5.23,6.04,36.04,1
69.0,73.85,0.43,8.17,49.27,0
34.79,49.22,4.43,18.55,50.89,0
74.21,76.66,-6.86,12.61,57.92,0
64.2,55.38,0.52,12.65,54.87,0
64.02,46.91,1.4,9.74,46.39,0
62.06,72.85,-4.31,8.67,45.33,0
31.77,55.16,-3.53,0.0,41.77,0
52.46,50.26,1.38,5.28,45.81,0
70.67,51.47,-6.8,6.08,29.02,1
60.06,70.58,2.1,0.5,40.41,0
62.08,49.53,-5.37,3.37,37.5,1
73.01,89.45,6.38,0.08,56.91,0
90.94,74.5,14.03,7.85,78.96,0
78.47,74.99,-5.16,11.28,52.34,0
67.26,64.26,3.21,12.43,55.6,0
65.74,71.96,-4.36,9.66,58.13,0
45.39,38.82,6.25,4.15,27.87,1
58.38,63.27,-7.59,0.27,55.66,0
78.37,66.62,2.88,0.97,47.28,0
87.76,77.97,-5.24,2.92,69.39,0
75.15,72.37,-1.24,4.44,47.66,0
